TransactionID,CustomerID,TransactionAmount,PaymentType,ProductCategory,Quantity,DeviceType,IPAddress,ShippingAddress,BillingAddress,IsFraudulent,AccountAge,TransactionHour
5823f7f4-fad,dbf1af57,721.97,Credit Card,Home,3,Mobile,165.111.163.161,04398 Jonathan Greens Apt. 406,599 Pitts Pike,0,89,4
9f3d2fa0-2a5,18ba2f5a,892.46,Net Banking,Toys & Games,2,Desktop,76.241.94.143,40118 Harrison Valley,048 Ronald Port,0,200,15
6285aead-f8c,23599963,309.53,Net Banking,Health,2,Tablet,54.196.162.123,495 Rose Inlet,8892 Clark Inlet,0,44,5
0df7be24-56e,46711533,166.34,PayPal,Clothing,4,Desktop,64.111.77.17,76573 Turner Squares,6214 Ramsey Field,0,118,20
b4e7f00e-ad5,e4695dc8,155.0,Debit Card,Clothing,5,Mobile,196.125.249.25,3723 Michelle Land,82405 Ross Extension,0,305,20
ec168a42-184,3fa323f7,80.46,Credit Card,Toys & Games,5,Mobile,141.122.241.48,1134 Cole Trafficway,9631 Gerald Pass,0,366,16
4b5ba516-832,34232ede,254.65,Debit Card,Health,2,Desktop,190.72.177.138,4424 Samantha Crossing Suite 223,57825 Smith Hollow,0,211,12
5ee26764-3a1,83be4909,853.05,Net Banking,Clothing,1,Mobile,218.199.41.227,80817 Aaron Dale,64407 Stewart Plains,0,273,21
a3044862-a9a,e5209a93,645.07,Net Banking,Electronics,1,Desktop,58.233.249.231,837 Acosta Spurs,8351 Ross Flat Suite 024,0,310,8
4143098b-811,46ebf8d3,790.27,Debit Card,Clothing,4,Tablet,65.109.148.255,1196 Mary Plaza,2424 Jordan Drives,0,53,5
9e7750db-755,d7794d63,35.88,PayPal,Sports,2,Mobile,108.213.115.88,50751 Cynthia Village Apt. 247,30750 Anderson Walks Apt. 256,0,83,21
8d7fd9a0-b8c,98067dc3,827.8,PayPal,Electronics,4,Tablet,220.186.198.139,0118 Gary Garden,346 Decker Prairie,0,321,15
e347ce68-9c4,fcdf39ec,777.35,Debit Card,Home,3,Tablet,82.172.223.179,1042 Cindy Mountain,032 Robinson Coves,1,89,22
39aae2db-776,895ed154,723.54,Credit Card,Electronics,5,Mobile,84.6.92.153,77892 Corey Square,341 Taylor Extension Suite 742,0,280,2
